999000280001640|10488004|866441357320019|51200748|28C73F01C6A6B3C57FB61A9A770F73C4|00|28C73F01C6A6B3C57FB61A9A770F73C4||
014401505100001|70502018|304440150720023|47500430||-1|input key empty||
014401507200005|68772018|304440150720019|47489783||-1|input key empty||
014401511100001|68722018|304440151110003|47489786||-1|input key empty||
014401531107775|69242018|304440153110105|47492900||-1|input key empty||
014401557100001|68762018|304440150130022|47489785||-1|input key empty||
014401565500002|68732018|304440151370048|47489782||-1|input key empty||
014401565500003|68742018|304440151370049|47489787||-1|input key empty||
014401597702031|69502018|304440159980253|47514470||-1|input key empty||
014401597702032|69532018|304440159980250|47501986||-1|input key empty||
084406513100013|13208648|866440659990068|51242665||-1|input key empty||
104401152001648|20032517|103440215200064|51158605|00400213113|-2|key len = 11 error||
104401152001653|11386927|103441815200119|51214151|07100075107|-2|key len = 11 error||
104401481200032|78748141|103441848120117|51214153|02300147044|-2|key len = 11 error||
104401501300146|01768836|103440150130178|51180572|00400226199|-2|key len = 11 error||
104401501300187|68383798|103440150130183|51219201||-1|input key empty||
104401504604872|29359521|105440150466079|51134779|00400206040|-2|key len = 11 error||
104401504604873|71283148|105440150466078|51134781|00400206041|-2|key len = 11 error||
104401504604908|59093523|105440150465823|51186825|00400230181|-2|key len = 11 error||
104401504604925|58674146|105440150465769|51222317||-1|input key empty||
104401509400017|67873918|103441850940030|51214152|02300147043|-2|key len = 11 error||
104401513100426|44484192|103440151310264|51231093||-1|input key empty||
104401513700326|78605103|866440159990028|47866445||-1|input key empty||
104401513701882|39439297|105440151375137|51173316|00400222193|-2|key len = 11 error||
104401513701883|90335362|105440151379803|51173317|00400222194|-2|key len = 11 error||
104401513701925|13721292|103440151370600|51180597|00400226223|-2|key len = 11 error||
104401513701972|48158333|103440151370613|51187210|00400230203|-2|key len = 11 error||
104401513900349|99627477|103440151390160|51156874|00400212182|-2|key len = 11 error||
104401513900369|37480055|103440151390165|51180556|00400226183|-2|key len = 11 error||
104401531100095|38766885|103441853110239|51161770|00400215021|-2|key len = 11 error||
104401531100115|44502468|103441853110242|51219506||-1|input key empty||
104401533100011|93642451|103440153311061|51231074||-1|input key empty||
104401539900057|32993886|103441853990068|51223743||-1|input key empty||
104401568100003|54200055|103440156810195|51180568|00400226195|-2|key len = 11 error||
104401573200013|09210501|222211113332456|22334455|9988kkk|-2|key len = 7 error||
104401573200013|83108521|222211113332456|22334456||-1|input key empty||
104401573200016|22255120|123497898799871|22334452||-1|input key empty||
104401573200016|46726048|123497898799871|22334453||-1|input key empty||
104401573200141|26870057|123497891234567|12309871||-1|input key empty||
104401573200141|46206336|123497891234567|12309873||-1|input key empty||
104401573200141|56658094|123497891234567|12309870||-1|input key empty||
